phrase,hsk_level,type
你,1,word
好,1,word
你们,1,word
对不起,1,word
没关系,1,word
谢谢,1,word
不,1,word
不客气,1,word
再见,1,word
叫,1,word
什么,1,word
名字,1,word
我,1,word
是,1,word
老师,1,word
吗,1,word
学生,1,word
人,1,word
美国,1,word
中国,1,word
她,1,word
谁,1,word
的,1,word
汉语,1,word
哪,1,word
国,1,word
呢,1,word
他,1,word
同学,1,word
朋友,1,word
家,1,word
有,1,word
女儿,1,word
几,1,word
岁,1,word
了,1,word
今年,1,word
多,1,word
大,1,word
会,1,word
说,1,word
妈妈,1,word
菜,1,word
很,1,word
做,1,word
写,1,word
汉字,1,word
字,1,word
怎么,1,word
读,1,word
请,1,word
今天,1,word
号,1,word
月,1,word
星期,1,word
昨天,1,word
明天,1,word
去,1,word
学校,1,word
看,1,word
书,1,word
想,1,word
喝,1,word
茶,1,word
吃,1,word
米饭,1,word
下午,1,word
商店,1,word
买,1,word
个,1,word
杯子,1,word
这,1,word
多少,1,word
钱,1,word
块,1,word
那,1,word
小,1,word
猫,1,word
在,1,word
那儿,1,word
狗,1,word
椅子,1,word
下面,1,word
在,1,word
哪儿,1,word
工作,1,word
儿子,1,word
医院,1,word
医生,1,word
爸爸,1,word
桌子,1,word
上,1,word
电脑,1,word
和,1,word
本,1,word
里,1,word
前面,1,word
后面,1,word
王方,1,word
谢朋,1,word
这儿,1,word
没有,1,word
能,1,word
坐,1,word
现在,1,word
点,1,word
分,1,word
中午,1,word
吃饭,1,word
时候,1,word
回,1,word
我们,1,word
电影,1,word
住,1,word
前,1,word
北京,1,word
天气,1,word
怎么样,1,word
太,1,word
热,1,word
冷,1,word
下雨,1,word
小姐,1,word
来,1,word
雨,1,word
下,1,word
爱,1,word
些,1,word
水果,1,word
水,1,word
喂,1,word
学习,1,word
大卫,1,word
上午,1,word
睡觉,1,word
电视,1,word
喜欢,1,word
打电话,1,word
东西,1,word
一点儿,1,word
苹果,1,word
看见,1,word
先生,1,word
开,1,word
车,1,word
回来,1,word
分钟,1,word
后,1,word
张,1,word
衣服,1,word
漂亮,1,word
少,1,word
这些,1,word
都,1,word
认识,1,word
年,1,word
大学,1,word
饭店,1,word
出租车,1,word
高兴,1,word
听,1,word
飞机,1,word
一,1,word
九,1,word
八,1,word
四,1,word
二,1,word
七,1,word
十,1,word
六,1,word
三,1,word
五,1,word
旅游,2,word
觉得,2,word
最,2,word
为什么,2,word
也,2,word
运动,2,word
踢足球,2,word
一起,2,word
要,2,word
新,2,word
它,2,word
眼睛,2,word
花花,2,word
生病,2,word
每,2,word
早上,2,word
跑步,2,word
起床,2,word
药,2,word
身体,2,word
出院,2,word
出,2,word
高,2,word
知道,2,word
休息,2,word
忙,2,word
时间,2,word
手表,2,word
千,2,word
报纸,2,word
送,2,word
一下,2,word
牛奶,2,word
房间,2,word
丈夫,2,word
旁边,2,word
真,2,word
颜色,2,word
左边,2,word
红色,2,word
红,2,word
生日,2,word
快乐,2,word
给,2,word
晚上,2,word
问,2,word
非常,2,word
开始,2,word
已经,2,word
长,2,word
两,2,word
帮,2,word
介绍,2,word
外面,2,word
准备,2,word
就,2,word
鱼,2,word
吧,2,word
件,2,word
还,2,word
可以,2,word
不错,2,word
考试,2,word
意思,2,word
咖啡,2,word
对,2,word
以后,2,word
门,2,word
外,2,word
羊肉,2,word
好吃,2,word
面条,2,word
打篮球,2,word
因为,2,word
所以,2,word
游泳,2,word
姐姐,2,word
教室,2,word
机场,2,word
路,2,word
离,2,word
公司,2,word
远,2,word
公共汽车,2,word
小时,2,word
慢,2,word
快,2,word
走,2,word
到,2,word
再,2,word
让,2,word
告诉,2,word
等,2,word
找,2,word
事情,2,word
服务员,2,word
白,2,word
黑,2,word
贵,2,word
错,2,word
从,2,word
跳舞,2,word
第一,2,word
希望,2,word
问题,2,word
上班,2,word
懂,2,word
完,2,word
题,2,word
课,2,word
帮助,2,word
别,2,word
哥哥,2,word
鸡蛋,2,word
西瓜,2,word
正在,2,word
手机,2,word
洗,2,word
唱歌,2,word
男,2,word
女,2,word
孩子,2,word
右边,2,word
比,2,word
便宜,2,word
说话,2,word
可能,2,word
去年,2,word
姓,2,word
得,2,word
妻子,2,word
雪,2,word
零,2,word
穿,2,word
进,2,word
弟弟,2,word
近,2,word
着,2,word
手,2,word
拿,2,word
铅笔,2,word
杨笑笑,2,word
笑,2,word
宾馆,2,word
往,2,word
路口,2,word
有意思,2,word
但是,2,word
虽然,2,word
次,2,word
玩儿,2,word
晴,2,word
百,2,word
日,2,word
新年,2,word
票,2,word
火车站,2,word
大家,2,word
妹妹,2,word
阴,2,word
虽然……但是……,2,word
因为……所以……,2,word
卖,2,word
累,2,word
玩,2,word
您,2,word
周末,3,word
