phrase,en,id
法律,law,0
俩,"two, both",1
印象,impression,2
深,deep,3
熟悉,to be familiar with,4
不仅,not only,5
性格,"personality, character",6
开玩笑,"joking, kidding",7
从来,always,8
最好,best,9
共同,"common, shared",10
适合,"to suit, to fit",11
幸福,happy,12
生活,life,13
刚,just now,14
浪漫,romantic,15
够,to be enough,16
缺点,"shortcoming, faults",17
接受,to accept,18
羡慕,to envy,19
爱情,love (romantic),20
即使,even if,21
加班,to work overtime,22
感动,to be moved (emotionally),23
自然,naturally,24
原因,reason,25
互相,"each other, mutually",26
吸引,to attract,27
幽默,humorous,28
脾气,"temper, disposition",29
适应,to get used to,30
交,to make (friends),31
平时,"normal times, normally",32
逛,"to stroll, to roam",33
短信,text message,34
正好,just in time,35
聚会,to have a party,36
联系,to contact,37
差不多,almost,38
专门,specially,39
毕业,to graduate,40
麻烦,to bother,41
好像,as if,42
重新,"again, once more",43
尽管,although,44
真正,"true, real, genuine",45
友谊,friendship,46
丰富,to enrich,47
无聊,boring,48
讨厌,to dislike,49
却,"but, yet",50
周围,surrounding,51
交流,"to exchange, to communicate",52
理解,to understand,53
镜子,mirror,54
而,and yet,55
当,"when, just at (a time or place)",56
困难,difficulty,57
及时,in time,58
陪,to accompany,59
挺,"rather, quite",60
紧张,nervous,61
信心,confidence,62
能力,"ability, competence",63
招聘,to recruit,64
提供,to provide,65
负责,to be in charge of,66
本来,"originally, at first",67
应聘,to apply for a job,68
材料,"data (e.g. filled-out form), material",69
符合,in keeping with,70
通知,to notify,71
律师,lawyer,72
专业,"professional, specialty",73
另外,"besides, in addition",74
收入,income,75
咱们,"we, us",76
安排,to arrange,77
首先,first of all,78
正式,formal,79
留,to leave (something behind),80
其次,"second, next",81
诚实,honest,82
改变,to change,83
感觉,feeling,84
判断,"to judge, to decide",85
顾客,"customer, client",86
准时,"punctual, on time",87
不管,"no matter (what, how)",88
与,with,89
约会,"date, appointment",90
提,"to mention, to carry",91
以为,"to think, to believe (mistakenly)",92
份,measure word for jobs and other things,93
完全,completely,94
赚,"to earn, to make (money)",95
调查,to investigate,96
原来,original,97
计划,to plan,98
提前,to do something in advance or ahead of time,99
保证,guarantee,100
提醒,to remind,101
乱,"messy, chaotic",102
生意,"business, trade",103
谈,"to talk, to discuss",104
积累,to accumulate,105
经验,experience,106
一切,"all, every",107
按照,according to,108
成功,successful,109
顺利,smooth,110
感谢,to thank,111
消息,news,112
按时,on time,113
奖金,"bonus, money award",114
工资,salary,115
方法,method,116
知识,knowledge,117
不得不,to have no choice but to,118
甚至,"even, so far as to",119
责任,responsibility,120
家具,furniture,121
沙发,sofa,122
打折,to give a discount,123
价格,price,124
质量,quality,125
肯定,"surely, certainly",126
流行,popular,127
顺便,"in passing, by convenience",128
台,measure word for machines,129
光,"only, merely",130
实在,really,131
效果,effect,132
现金,cash,133
邀请,to invite,134
葡萄,grape,135
艺术,art,136
广告,advertisement,137
味道,"taste, flavor",138
优点,"merit, good points",139
实际,reality,140
考虑,to consider,141
标准,standard,142
样子,"look, appearance",143
年龄,age,144
浪费,to waste,145
购物,"to shop, to buy things",146
尤其,especially,147
受,to receive,148
任何,"any, whatever",149
寄,"to mail, to send",150
果汁,fruit juice,151
售货员,salesperson,152
袜子,socks,153
打扰,"to disturb, to bother",154
竟然,adv. indicating unexpectedness,155
西红柿,tomato,156
百分之,percent,157
倍,"n-times, n-fold",158
皮肤,skin,159
好处,"benefit, advantage",160
尝,to taste,161
轻,"light, of little weight",162
方面,aspect,163
值得,to be worth,164
活动,"activity, event",165
内,"in, within",166
免费,to be free of charge,167
修理,"to repair, to mend",168
支持,to support,169
举行,"to hold (a meeting, event, etc.)",170
满,to reach a quota or limit,171
其中,"among (which, them, etc.)",172
小说,"novel, fiction",173
所有,all,174
获得,"to get, to obtain",175
情况,"situation, circumstances",176
例如,for example,177
举办,"to hold, to conduct",178
各,"various, different",179
降低,"to lower, to reduce",180
擦,to wipe,181
气候,climate,182
估计,"to estimate, to reckon",183
咳嗽,to cough,184
严重,"serious, grave",185
窗户,window,186
空气,air,187
抽烟,to smoke,188
动作,"action, movement",189
帅,handsome,190
出现,"to appear, to emerge",191
后悔,to regret,192
来不及,"to have not enough time to, to be too late to",193
反对,"to oppose, to object to",194
大夫,doctor,195
植物,plant,196
研究,"to study , to do research",197
超过,"to exceed, to surpass",198
散步,to take a walk,199
指,to refer to,200
教授,professor,201
数字,number,202
说明,"to explain, to show",203
要是,"if, supposing",204
减肥,to lose weight,205
辛苦,"hard, toilsome",206
肚子,"belly, stomach",207
感情,"affection, love",208
烦恼,"worried , vexed",209
掉,"result complement, we use it if after an action something disappears",210
巧克力,chocolate,211
亲戚,"relative, kinsfolk",212
伤心,"sad, sorrowful",213
使,"to make, to cause",214
心情,"mood, state of",215
愉快,"glad, cheerful",216
